ROS Time,Behaviour
02:53: 45,Pausing
02:53: 50,Pausing
02:54: 35,Pausing
02:54: 40,Pausing
02:54: 40,Spinning
02:54: 45,Spinning
02:55: 00,Spinning
02:55: 05,Spinning
02:55: 11,Spinning
02:55: 16,Spinning
02:55: 17,Pausing
02:55: 22,Pausing
02:55: 31,Spinning
02:55: 36,Spinning
02:55: 38,Spinning
02:55: 43,Spinning
02:55: 45,Pausing
02:55: 50,Pausing
02:55: 51,Pausing
02:55: 56,Pausing
02:56: 15,Spinning
02:56: 20,Spinning
02:56: 29,Pausing
02:56: 34,Pausing
02:56: 35,Spinning
02:56: 40,Spinning
02:56: 40,Pausing
02:56: 45,Pausing
02:56: 45,Pausing
02:56: 50,Pausing
02:56: 58,Pausing
02:57: 03,Pausing
02:57: 11,Spinning
02:57: 16,Spinning
02:57: 22,Pausing
02:57: 27,Pausing
02:57: 27,Spinning
02:57: 32,Spinning
02:57: 32,Pausing
02:57: 37,Pausing
02:57: 59,Spinning
02:58: 04,Spinning
